instruction,input,output
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",A me sembra che non siamo più nel medioevo. Questa affermazione contro i musulmani però ci fa ritornare davvero al tempo delle crociate.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","In my experience, having known many Muslims, I must say that no one seemed particularly interested in organizing a coup to take power in Italy.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islamic are criminals: they rape, enslave and murder people. Islam is more a worship than a religion and we do not have anything to share with them.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The Quran says that the good Muslim can only transmit the principles of Islam, but without using force, if someone follows another religion, he can do it. There is no mention about killing those who do not believe in the same principles.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le mieux est de leur poser la question.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What type?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Although some newspapers represent a reality like this, there is no evidence that Arab citizens want to impose their religion.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","[insert picture of first/second world war Muslim soldiers, example The World's War, Forgotten Soldiers of Empire] they have fought and died for our country.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ci faranno saltare in aria tutti pur di costringerci alla loro fede.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",La France est le seul pays qui cherche à exclure la femme de la société.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Quand même cela serait-il, exprimer son adhésion à une idéologie, une religion, une philosophie dans l'espace public est protégé par l'article 9 de la CEDH.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Even they have vaccines.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Cela relève d'un sondage? Ou de ta réflexion?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",This person likes the words that end in ists. And rhymes!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It is not very civilised of you to be intolerant of another religion.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Il y a des extrémistes dans toutes religion. L'essentiel est de retenir que Dieu ne veut pas le meutre envers ces frères et soeurs en humanité.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",There are centuries old Islamic communities in Europe.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L'islamophobie est une maladie comme tout racisme.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Unbearable clichés.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Elles n'ont pas choisi de ne pas travailler, elles sont empêchées de travailler quand elles sont diplômées, par contre pas de problème de travailler avec son voile quand elle est dans le ménage .",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",No. A religion of 1.6 billion people is not the same as Nazism and it is ignorant to say so.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Y en a par dessus la tête des excuses qui vous permettent d'écraser ceux qui ne pensent pas comme vous, on est dans un pays de liberté, pourquoi priver les femmes musulmanes de leur liberté? C'est tout simplement du racisme.",non-hate
